dataset,categorical_columns,column_names
accounts,8,"account_id, borrower_id, loan_type, risk_segment, status, opened_at, timezone, schema_version"
account_status_history,8,"history_id, account_id, borrower_id, event_at, status, changed_by, source, recorded_at"
agents,8,"agent_id, employee_code, agent_name, vendor_id, team, status, joined_at, updated_at"
agent_sessions,7,"session_id, agent_id, login_at, channel, device_id, timezone, logout_at"
borrowers,7,"borrower_id, name, email, city, created_at, updated_at, state"
calls,10,"call_id, account_id, borrower_id, event_at, agent_id, campaign_id, direction, vendor_id, call_status, timezone"
call_attempts,8,"attempt_id, account_id, borrower_id, event_at, call_id, agent_id, vendor_id, attempt_status"
call_dispositions,8,"disposition_id, account_id, borrower_id, event_at, call_id, agent_id, disposition_code, disposition_version"
campaigns,7,"campaign_id, campaign_name, channel, strategy_version, start_at, target_definition, end_at"
complaints,9,"complaint_id, account_id, borrower_id, event_at, complaint_type, severity, status, source, resolution_at"
daily_targeting,6,"target_id, account_id, campaign_id, target_date, recommended_channel, status"
data_dictionary,3,"dataset, column, dtype"
field_visits,8,"visit_id, account_id, borrower_id, event_at, agent_id, visit_type, outcome, scheduled_at"
payments,8,"payment_id, account_id, borrower_id, event_at, payment_reference, payment_status, payment_method, provider_id"
promises_to_pay,8,"ptp_id, account_id, borrower_id, event_at, agent_id, promised_date, status, source"
sms_events,8,"sms_event_id, account_id, borrower_id, event_at, message_id, event_type, template_code, provider_id"
vendor_telephony,6,"vendor_id, vendor_name, vendor_account_id, timezone, status, schema_version"
whatsapp_events,8,"whatsapp_event_id, account_id, borrower_id, event_at, message_id, event_type, template_code, provider_id"
